row_index,provenance,detrended,trendDetectedForDetrend,status,problem_count,warning_count,problems,warnings,raw_path,detrended_path
0,TESSCut,True,True,ok,0,0,,,/data/projects/TESS-research/data_pipeline/TESSCache/VSX_LMC_V0827_TIC_30855441_TESSCut_raw.fits,/data/projects/TESS-research/detrend_tesscut/output/VSX_LMC_V0827_TIC_30855441_TESSCut_detrended.fits
1,SPOC,False,False,ok,0,0,,,,
2,QLP,False,False,ok,0,0,,,,
3,,False,False,ok,0,0,,,,
4,,False,False,ok,0,0,,,,
5,QLP,False,False,ok,0,0,,,,
6,TESSCut,False,False,ok,0,0,,,/data/projects/TESS-research/data_pipeline/TESSCache/VSX_LMC_V3615_TIC_277103886_TESSCut_raw.fits,
7,QLP,False,False,ok,0,0,,,,
8,TESSCut,True,True,ok,0,0,,,/data/projects/TESS-research/data_pipeline/TESSCache/VSX_Gaia_DR3_4661515065088453248_TIC_682521011_TESSCut_raw.fits,/data/projects/TESS-research/detrend_tesscut/output/VSX_Gaia_DR3_4661515065088453248_TIC_682521011_TESSCut_detrended.fits
9,TESSCut,False,False,ok,0,0,,,/data/projects/TESS-research/data_pipeline/TESSCache/VSX_Gaia_DR3_4689016084318457344_TIC_181880128_TESSCut_raw.fits,
10,TESSCut,True,True,ok,0,0,,,/data/projects/TESS-research/data_pipeline/TESSCache/VSX_LMC_V0577_TIC_30528634_TESSCut_raw.fits,/data/projects/TESS-research/detrend_tesscut/output/VSX_LMC_V0577_TIC_30528634_TESSCut_detrended.fits
11,QLP,False,False,ok,0,0,,,,
12,QLP,False,False,ok,0,0,,,,
13,TESSCut,True,True,ok,0,0,,,/data/projects/TESS-research/data_pipeline/TESSCache/VSX_LMC_V0998_TIC_31105403_TESSCut_raw.fits,/data/projects/TESS-research/detrend_tesscut/output/VSX_LMC_V0998_TIC_31105403_TESSCut_detrended.fits
14,,False,False,ok,0,0,,,,
15,TESSCut,True,True,ok,0,0,,,/data/projects/TESS-research/data_pipeline/TESSCache/VSX_BEST_lrcbx-2685_TIC_109574845_TESSCut_raw.fits,/data/projects/TESS-research/detrend_tesscut/output/VSX_BEST_lrcbx-2685_TIC_109574845_TESSCut_detrended.fits
16,TESSCut,True,True,ok,0,0,,,/data/projects/TESS-research/data_pipeline/TESSCache/VSX_Gaia_DR3_4685696796119647616_TIC_181660951_TESSCut_raw.fits,/data/projects/TESS-research/detrend_tesscut/output/VSX_Gaia_DR3_4685696796119647616_TIC_181660951_TESSCut_detrended.fits
17,SPOC,False,False,ok,0,0,,,,
18,,False,False,ok,0,0,,,,
19,SPOC,False,False,ok,0,0,,,,
20,TESSCut,True,True,ok,0,0,,,/data/projects/TESS-research/data_pipeline/TESSCache/VSX_LMC_V2529_TIC_373775910_TESSCut_raw.fits,/data/projects/TESS-research/detrend_tesscut/output/VSX_LMC_V2529_TIC_373775910_TESSCut_detrended.fits
21,TESSCut,True,True,ok,0,0,,,/data/projects/TESS-research/data_pipeline/TESSCache/VSX_Gaia_DR3_4690573301975819904_TIC_51989907_TESSCut_raw.fits,/data/projects/TESS-research/detrend_tesscut/output/VSX_Gaia_DR3_4690573301975819904_TIC_51989907_TESSCut_detrended.fits
22,TESSCut,True,True,ok,0,0,,,/data/projects/TESS-research/data_pipeline/TESSCache/VSX_OGLE-GD-CEP-0196_TIC_82060741_TESSCut_raw.fits,/data/projects/TESS-research/detrend_tesscut/output/VSX_OGLE-GD-CEP-0196_TIC_82060741_TESSCut_detrended.fits
