Feature,Importance
TimeSpanDays,0.03216280763855057
EtaVonNeumann,0.02852286437025666
CadenceCount,0.02566586043086939
OriginalFluxStd,0.023660643213540857
OriginalFluxSnr,0.023186694472170165
MaxAbsSlope,0.022217551085738748
FluxMin,0.02099004744066788
MedianAbsSuccessiveDiff,0.020358854103258633
FluxAmplitude,0.019820434568292952
FluxMax,0.018653803776020276
TailRatio,0.018433079696435817
FluxMean,0.017002639568463505
FluxSkewness,0.01653211611367884
FluxKurtosis,0.0163482545131914
FluxP25,0.016280745997127838
FluxP99,0.01627835987283152
LsBestPeriod,0.015819985672898572
FluxP75,0.015771529237139432
LsTopPeriod1,0.015566851098470265
LsTopPeriod2,0.015468127220693496
LsPeriod2,0.015402217088426514
FractionBeyond2Std,0.015366671325121576
FractionBeyond1Std,0.015100385063627143
LsTopFrequency1,0.015027817840379811
LsBestFrequency,0.014956253503288495
FluxIqr,0.014950185901474946
LsTopPeriod3,0.014946038583807407
TailAsymmetry,0.014901808847390608
LsPeriod3,0.014813375780778728
LsTopFrequency2,0.014799256145398919
LsPowerRatio31,0.01469815747616277
FluxP01,0.014682731695681774
FluxMad,0.014642988529152287
PhaseCurveRange,0.01453096741202733
LsPeakPowerGap12,0.014506868565063858
FluxP90,0.014505339263919047
PhaseCurveStd,0.014427866742569682
PhasePeakToTroughPhaseDelta,0.014090865143700658
FluxP10,0.014053741899806524
LsTopFrequency3,0.013997445010471569
LsPeakPowerGap23,0.01389682154432603
LsPowerRatio21,0.013895320779254372
LsMaxPower,0.013707695603154569
LsPower2,0.013621772027334904
PhasePeakPhase,0.013613814527360655
FluxPercentAmplitude90To10,0.013469433578416278
ProvenanceScore,0.013436700766115355
LsPower3,0.013406998275798974
PhaseCurveSmoothness,0.013394760651381475
FluxP05,0.013184494330355982
LsTopPower3,0.01306114835094296
TailLower,0.013058405998031345
LsTopPower2,0.013043998364105906
LsTopPower1,0.012946822287020304
FluxPercentAmplitude95To5,0.01290498840169006
TailUpper,0.012781094402968195
FluxP95,0.012633323386449003
PhaseTroughPhase,0.012487960892621086
LsFrequencyRatio21,0.010963366663520801
LsPeriodRatio31,0.010947380425310021
LsFrequencyRatio31,0.010824692906066085
LsPeriodRatio21,0.010473422978449347
LsLogFalseAlarmProbability,0.005957071015597924
LsNegativeLog10FalseAlarmProbability,0.005601414816795853
QualityScore,0.003776756665393568
MedianCadenceDays,0.0036831127249275656
LowSnr,0.002300637518686384
LowQualityLightCurve,0.002234025843671645
OriginalFluxMedian,0.0012687308810176276
LsFalseAlarmProbability,0.0002816014846893209
FluxMedian,0.0
FluxVariance,0.0
FluxStd,0.0
LsHasReliableFap,0.0
