Feature,PermutationImportanceMean,PermutationImportanceStd
TimeSpanDays,0.015349441012665338,0.004034448896536923
ProvenanceScore,0.013409498115448332,0.0033239861281803276
OriginalFluxStd,0.00886531108608804,0.0037508654488661434
OriginalFluxSnr,0.008055361765682906,0.0029692482407273732
FractionBeyond2Std,0.004374148142484107,0.0025269107021049383
FluxMax,0.003027039938027232,0.001918267968215499
FluxIqr,0.0022044167448557195,0.001746606909000638
LowQualityLightCurve,0.0019540816483250125,0.0017330275948582192
LsNegativeLog10FalseAlarmProbability,0.0017711068476769232,0.0016116544187740188
QualityScore,0.0015208406453017908,0.001921678839032577
LsPowerRatio31,0.0013907690968959275,0.003002520444420065
LsLogFalseAlarmProbability,0.0013830052118135427,0.001402214613801205
FractionBeyond1Std,0.0012440685922716689,0.001546986436568269
LsTopPower3,0.0009799184116113413,0.0016145423931901253
TailAsymmetry,0.0009371339497617093,0.0019821529117699053
FluxPercentAmplitude95To5,0.0008139414198703454,0.0018514396749216957
TailRatio,0.0007159702976737847,0.001850566429200209
FluxPercentAmplitude90To10,0.0007035180834953358,0.0016911482597514813
FluxKurtosis,0.00034258961446513304,0.0013473192630101714
LsFrequencyRatio21,0.00030013489416867435,0.002519002141513797
FluxP10,0.0002711892059931276,0.001930865895175985
LowSnr,0.0002646250878299672,0.0009298673226916457
LsMaxPower,0.00021411136488693193,0.0012013096143186892
MedianCadenceDays,0.00016580661924381901,0.00048504832441628975
OriginalFluxMedian,7.558578987148512e-05,0.000408966699422079
LsPower2,4.631384373599556e-05,0.0020322758695249586
MedianAbsSuccessiveDiff,8.104812951681417e-06,0.0026289796285080677
LsHasReliableFap,0.0,0.0
LsFalseAlarmProbability,0.0,0.0
FluxMedian,0.0,0.0
FluxStd,0.0,0.0
FluxVariance,0.0,0.0
PhasePeakToTroughPhaseDelta,-1.4079302281477801e-05,0.0021952226226433632
FluxP75,-6.572497726264892e-05,0.0020149271687435605
FluxP90,-0.00024593341531850554,0.0019224375250581952
PhasePeakPhase,-0.0003454872346440374,0.002347745890883172
FluxSkewness,-0.0003980555528448171,0.002336530827032402
LsTopPower2,-0.000706541732578142,0.002304376578794836
MaxAbsSlope,-0.0009549187666525571,0.0031072487562792957
LsPower3,-0.0011052212892051383,0.0013507759165457046
LsPowerRatio21,-0.0011157817944495163,0.0017838615364108277
EtaVonNeumann,-0.0011741872336253512,0.0025358207835539507
LsFrequencyRatio31,-0.0011837645593033297,0.0014967644570422875
LsTopFrequency2,-0.0012596238877657707,0.0024569901877964507
LsTopPower1,-0.001488985698805506,0.0022549369849155705
FluxP25,-0.0017021914477292344,0.003529972666422958
TailUpper,-0.001711044121246791,0.0022771185648547414
LsPeriodRatio31,-0.0017931944394867672,0.002079589747495979
FluxP05,-0.001935008751748102,0.0014222553945300337
FluxP99,-0.0019715018805728903,0.002424234784904417
LsPeriod2,-0.0020444583086483836,0.0018147032294329086
PhaseCurveSmoothness,-0.002149203859907467,0.0020799188220333126
LsPeriodRatio21,-0.0021616399380273267,0.002314072557143991
FluxAmplitude,-0.002260866738958306,0.002216197654948474
LsTopPeriod1,-0.002487285374691728,0.0013549897711138735
FluxMean,-0.002520104595852263,0.0032274316053916684
PhaseTroughPhase,-0.002567018917268721,0.0023837177332693424
FluxP95,-0.002693282542981651,0.002175889408603537
LsTopFrequency1,-0.0028739763717010257,0.001418780420341718
FluxMad,-0.003280098484221161,0.0024915758801638058
LsTopFrequency3,-0.003370767416427789,0.0016409750533936303
LsTopPeriod2,-0.003546855412498251,0.001643366789563232
FluxMin,-0.003662926536496075,0.0026668131457204983
FluxP01,-0.00409359753629811,0.001970618326735666
PhaseCurveRange,-0.0042721001607313736,0.006166684489176654
LsBestPeriod,-0.004311533109991434,0.0024552152136133607
LsPeakPowerGap23,-0.004402625604068938,0.0014450267608881833
LsBestFrequency,-0.005287735768307783,0.0022046257220315313
TailLower,-0.005367483252074834,0.0023977518423706516
LsTopPeriod3,-0.005475968635448969,0.001623001121786847
LsPeriod3,-0.005711326481263939,0.0008449965770323769
LsPeakPowerGap12,-0.007092020714746644,0.006326766992491316
CadenceCount,-0.009480800225944752,0.0063044955814713964
PhaseCurveStd,-0.012207332006581468,0.007797993883909614
